building_name,building_irn,school_year,enrollment,value_added_composite,performance_index_score
Max S Hayes High School,023259,2022-2023,615,-3.74,50.3
Memorial School,008680,2020-2021,377,NA,45.01
Memorial School,008680,2021-2022,410,13.21,59.8
Memorial School,008680,2022-2023,377,10.76,60.9
Menlo Park Academy,000318,2020-2021,565,NA,66.339
Menlo Park Academy,000318,2021-2022,592,0.93,101.4
Menlo Park Academy,000318,2022-2023,502,-3.32,99.4
Michael R. White,024703,2020-2021,376,NA,40.232
Michael R. White,024703,2021-2022,413,4.85,49.9
Miles Park School,024695,2020-2021,374,NA,36.144
Miles Park School,024695,2021-2022,399,2.26,43.1
Miles Park School,024695,2022-2023,379,2.33,46.2
Miles School,024687,2020-2021,316,NA,34.129
Miles School,024687,2021-2022,268,2.85,43.9
Miles School,024687,2022-2023,243,-0.04,41
Mound Elementary School,025650,2020-2021,393,NA,30.992
Mound Elementary School,025650,2021-2022,389,2.39,39.2
Mound Elementary School,025650,2022-2023,378,-1.84,37.3
Nathan Hale School,026443,2020-2021,479,NA,27.041
Nathan Hale School,026443,2021-2022,448,2.43,47.4
Nathan Hale School,026443,2022-2023,437,-2.71,48.2
Natividad Pagan International Newcomers Academy,037101,2021-2022,612,2.87,32.6
Natividad Pagan International Newcomers Academy,037101,2022-2023,707,3.54,37.3
Near West Intergenerational School,012030,2020-2021,242,NA,67.87
Near West Intergenerational School,012030,2021-2022,224,4.76,82.2
Near West Intergenerational School,012030,2022-2023,213,2.77,83.9
New Technology West,012352,2020-2021,279,NA,44.386
New Technology West,012352,2021-2022,287,-2.1,55.7
New Technology West,012352,2022-2023,312,-2.68,57.5
Newton D Baker School,027102,2020-2021,466,NA,42.88
Newton D Baker School,027102,2021-2022,443,3.23,58.6
Newton D Baker School,027102,2022-2023,378,5.38,60.6
Northeast Ohio College Preparatory School,011923,2020-2021,526,NA,46.648
Northeast Ohio College Preparatory School,011923,2021-2022,509,4.5,55.7
Northeast Ohio College Preparatory School,011923,2022-2023,469,1.57,60.3
Northwest School of the Arts,000575,2022-2023,184,4.96,74.5
Oliver Hazard Perry Elementary School,028589,2020-2021,278,NA,36.125
Oliver Hazard Perry Elementary School,028589,2021-2022,286,3.54,43.9
Oliver Hazard Perry Elementary School,028589,2022-2023,308,-1.08,42.8
Orchard School,028720,2020-2021,456,NA,40.361
Orchard School,028720,2021-2022,461,3.9,53.3
Orchard School,028720,2022-2023,512,-0.11,51.5
Patrick Henry School,029371,2020-2021,299,NA,27.965
Paul L Dunbar Elementary School,029413,2020-2021,345,NA,44.211
Paul L Dunbar Elementary School,029413,2021-2022,367,6.63,65.4
Paul L Dunbar Elementary School,029413,2022-2023,394,1.75,67.9
Phoenix Village Academy Primary 2 dba Wings Academy 1,000736,2022-2023,148,-3.08,53.6
Rhodes College and Career Academy,016883,2020-2021,603,NA,44.309
Rhodes College and Career Academy,016883,2021-2022,562,-1.86,53.4
Rhodes College and Career Academy,016883,2022-2023,546,2.1,59.4
Rhodes School of Environmental Studies,016882,2020-2021,396,NA,34.231
Rhodes School of Environmental Studies,016882,2021-2022,369,-0.32,57.1
Rhodes School of Environmental Studies,016882,2022-2023,352,0.98,55.9
Riverside School,031963,2020-2021,463,NA,53.575
Riverside School,031963,2021-2022,444,3.31,70.1
Riverside School,031963,2022-2023,462,1.47,70.8
Robert H Jamison School,032060,2020-2021,366,NA,29.564
Robert H Jamison School,032060,2021-2022,392,0.74,41.6
Robert H Jamison School,032060,2022-2023,402,-0.02,41.3
Robinson G Jones Elementary School,032128,2020-2021,437,NA,32.864
Robinson G Jones Elementary School,032128,2021-2022,420,10.41,67
Robinson G Jones Elementary School,032128,2022-2023,444,11.04,72
Scranton School,033902,2020-2021,442,NA,40.525
Scranton School,033902,2021-2022,425,9.16,59.7
Scranton School,033902,2022-2023,461,6.91,61.5
Stephanie Tubbs Jones,029371,2021-2022,265,-1.43,38.4
Stephanie Tubbs Jones,029371,2022-2023,253,-1.82,39.2
Stepstone Academy,013148,2020-2021,166,NA,NA
Stepstone Academy,013148,2021-2022,193,NA,54.1
Stepstone Academy,013148,2022-2023,200,-1.24,56.6
Stonebrook-White Montessori,024703,2022-2023,419,5.23,55.5
Sunbeam,036475,2020-2021,439,NA,20.017
Sunbeam,036475,2021-2022,445,-1.81,38.4
Sunbeam,036475,2022-2023,443,-0.47,38.2
The School of One,025874,2020-2021,224,NA,48.333
The School of One,025874,2021-2022,286,4.06,68.9
The School of One,025874,2022-2023,284,1.88,62.5
Thomas Jefferson School,037101,2020-2021,515,NA,29.427
Tremont Montessori School,037457,2020-2021,409,NA,36.603
Tremont Montessori School,037457,2021-2022,408,-1.58,51.5
Tremont Montessori School,037457,2022-2023,382,-0.69,55.4
Valley View Elementary School,038182,2020-2021,178,NA,55.811
Valley View Elementary School,038182,2021-2022,173,1.52,67.6
Valley View Elementary School,038182,2022-2023,163,0.97,71.4
Village Preparatory School Cliffs,011291,2020-2021,720,NA,18.236
Village Preparatory School Cliffs,011291,2021-2022,655,6.37,65.9
Village Preparatory School Cliffs,011291,2022-2023,631,9.96,69
Village Preparatory School Willard,015722,2020-2021,534,NA,14.734
Village Preparatory School Willard,015722,2021-2022,500,-4.59,60.6
Village Preparatory School Willard,015722,2022-2023,507,-3.59,62.6
Village Preparatory School Woodland Hills,013034,2020-2021,724,NA,11.242
Village Preparatory School Woodland Hills,013034,2021-2022,675,-2.18,49.5
Village Preparatory School Woodland Hills,013034,2022-2023,608,-2.04,52.3
Wade Park,038927,2020-2021,543,NA,41.589
Wade Park,038927,2021-2022,521,-0.6,44
Wade Park,038927,2022-2023,512,-5.45,40.1
Walton School,039149,2020-2021,227,NA,34.243
Walton School,039149,2021-2022,217,5.08,44.5
Walton School,039149,2022-2023,245,0.96,41.7
Warner Girls Leadership Academy,039206,2020-2021,380,NA,41.273
Warner Girls Leadership Academy,039206,2021-2022,383,-0.3,49
Warner Girls Leadership Academy,039206,2022-2023,366,-0.92,54.1
Waverly Elementary School,039891,2020-2021,248,NA,29.169
Waverly Elementary School,039891,2021-2022,253,0.5,40.5
Waverly Elementary School,039891,2022-2023,297,-1.01,42.4
Whitney M Young,005942,2020-2021,362,NA,32.283
Whitney M Young,005942,2021-2022,322,-2.31,39.4
Whitney M Young,005942,2022-2023,315,-7.02,37
Wilbur Wright School,041236,2020-2021,482,NA,31.779
Wilbur Wright School,041236,2021-2022,448,-0.02,49
Wilbur Wright School,041236,2022-2023,497,1.14,52.4
William C Bryant Elementary School,038604,2020-2021,424,NA,49.065
William C Bryant Elementary School,038604,2021-2022,410,1.94,61.2
William C Bryant Elementary School,038604,2022-2023,391,1.33,65.7
William Rainey Harper,017190,2020-2021,237,NA,61.585
William Rainey Harper,017190,2021-2022,295,-0.55,62.1
William Rainey Harper,017190,2022-2023,366,2.23,69.7
Willson School,041541,2020-2021,341,NA,30.411
Willson School,041541,2021-2022,312,2.63,45
Willson School,041541,2022-2023,350,0.57,46.5
Wings Academy 1,000736,2020-2021,193,NA,51.532
Wings Academy 1,000736,2021-2022,156,-1.42,54.7
